"","RNA.0","RNA.1","RNA.2","RNA.3","RNA.4","RNA.5"
"ENSG00000083937",0.16880389185774,0.0921174456688027,0.178772014298059,0.208562033881359,0.0962367175823555,0.186291240125908
"ENSG00000064835",0,0,0,0,0,0
"ENSG00000239572",0,0,0,0,0,0
"ENSG00000179097",0,0.000469057533552581,0.00165128122873565,0.000843180611659307,0,0
"ENSG00000163320",0.158796357423702,0.140258141478137,0.152542326940703,0.296347621001633,0.210511114673755,0.413275296677229
"ENSG00000175105",0.0371531965724512,0.0207353038598447,0.0357509264313619,0.0371553311775298,0.0226458957893374,0.020804059171466
"ENSG00000179021",0.0220974913533034,0.0449392461487368,0.0650576968781565,0.0469535843666055,0.0528846677277047,0.0966182127004128
"ENSG00000044524",0,0.000479536882081506,0,0.00266924269097092,0,0
"ENSG00000184500",0.878662292569392,0.0161055257646992,0.0893733604250074,0.256718091272851,0.0371635185929752,0.0158144567667623
"ENSG00000169379",0.0211600864964856,0.0123280214692772,0.0208576533978837,0.0673504391789185,0.0194433558067979,0.0416254469736407
"ENSG00000178750",0,0,0,0.00173114979362761,0,0
"ENSG00000178700",0.0210779813221282,0.0274473163623617,0.018855610156259,0.0222330277530845,0.0096253547078702,0.0154413155392951
"ENSG00000178694",0.0192021501944566,0.0349301992706458,0.0291945791798222,0.0306966988131212,0.0140756007479168,0.0883384862312813
"ENSG00000239589",0,0,0,0,0,0
"ENSG00000269028",0.516316859427211,0.417609259255681,0.369361430643717,0.436661990943146,0.356534076365557,0.646464207970959
"ENSG00000080224",0,0,0,0.00173953025416876,0,0
"ENSG00000261292",0,0,0,0,0,0
"ENSG00000113966",0.008023651091989,0.00426226228351451,0.00420192870320351,0.0175055438776373,0.00563727137449024,0.00977761363821571
"ENSG00000282527",0.000541986579640491,0,0,0,0,0
"ENSG00000080200",0.0150725355699758,0.00141910068347192,0.0505575395123599,0.0531664529515793,0.0221163540535387,0.00488367483424143
"ENSG00000279658",0,0,0,0,0,0
"ENSG00000170854",0.0326345586833205,0.0159997531890796,0.0156722503571437,0.0379667736546329,0.0448663523460154,0.0300993714694543
"ENSG00000183185",0,0,0,0,0,0
"ENSG00000196578",0,0,0,0,0,0
"ENSG00000249225",0,0,0,0,0,0
"ENSG00000231192",0,0,0,0,0,0
"ENSG00000236032",0,0,0,0,0,0
"ENSG00000233412",0,0,0,0,0,0
"ENSG00000251088",0,0,0,0,0,0
"ENSG00000230301",0,0,0,0,0,0
"ENSG00000197938",0,0,0,0,0,0
"ENSG00000196098",0,0,0,0,0,0
"ENSG00000206536",0,0,0,0,0,0
"ENSG00000232382",0,0,0,0,0,0
"ENSG00000231861",0,0,0,0,0,0
"ENSG00000080822",0.053765225939838,0.184867341861984,0.0854221097697533,0.25476919008226,0.152596605390203,0.433703419648463
"ENSG00000080819",0.100456943318613,0.0203302895210044,0.0317876503424453,0.0456541285697225,0.0324459498026937,0.65857598684249
"ENSG00000248839",0,0,0,0,0,0
"ENSG00000154165",0,0,0,0,0.001672574748035,0.00986286655307023
"ENSG00000239445",0.00586266462088133,0,0.000855093108825977,0.00336957138052347,0,0
"ENSG00000064225",0.245649988649801,0.00189953014414274,0.0848079063528113,0.0933379430083068,0.0109121218650165,0.0108775679842697
"ENSG00000057019",0.0604939116702503,0.00142002573455591,0.00911473845080045,0.033930347191368,0,0.0106695078417944
"ENSG00000239462",0,0,0,0,0,0
"ENSG00000240476",0,0,0,0,0,0
"ENSG00000243296",0,0,0,0,0,0
"ENSG00000243089",0,0,0,0,0,0
"ENSG00000244464",0,0,0,0.00181414630229626,0,0
"ENSG00000144810",0.00135860529009901,0.00189031729174832,0.00245302493657252,0.357921672633028,0.00357941446166457,0
"ENSG00000273374",0.000262588224448959,0,0,0,0,0
"ENSG00000184220",0.177214958519169,0.0388613152176882,0.0213819139884402,0.126062015828213,0.289392687705668,0.132576956099161
"ENSG00000168386",0.00211675514378571,0.000477777702910583,0.107740547857206,0.158486320424895,0,0.00488367483424143
"ENSG00000235156",0,0,0,0,0,0
"ENSG00000036054",0.0534834250301827,0.0331455268294764,0.0505710367945324,0.0641098569181154,0.0347047223892427,0.171438987983537
"ENSG00000114021",0.526872589691683,0.0599477767331428,0.0673660603001173,0.0759635335014235,0.101980481724111,0.0926520506434432
"ENSG00000154174",0.176655147812171,0.037766296310699,0.0690276841290878,0.0847871453307296,0.105305243163958,0.0766810815468399
"ENSG00000206535",0.00507473054840595,0.00190595409509144,0.000820113935426354,0,0.0216417209056485,0.0210648022244185
"ENSG00000181458",0.359911042469027,0.00760406401021138,0.0152054988585522,0.0482526152087934,0.0796288740008034,0.0102019082855278
"ENSG00000144820",0.0678505776084378,0,0.00169667864935771,0,0.00171454444231431,0
"ENSG00000114354",0.195202073748323,0.0616375390302102,0.079337066851795,0.203426403900867,0.220812614966613,0.131853396779362
"ENSG00000154175",0.000519248063370605,0.000471309412161043,0.00165194637205094,0.051078518643453,0.0017977313117444,0
"ENSG00000081148",0.000513673849554639,0,0.00078480154726169,0,0.00195517926831936,0.00519620817161376
"ENSG00000138468",0.0269705321660126,0.0513657434707742,0.0571293362782054,0.115930607836804,0.0370098575708899,0.0516620135251825
"ENSG00000174173",0.160640565881613,0.0869689906057357,0.0792285321735206,0.120175754484926,0.132779399351814,0.24742261186618
"ENSG00000081154",0.150226563893616,0.290349916309664,0.247977161304902,0.363127552741688,0.363867383368632,0.773556890547299
"ENSG00000066422",0.0273004510058945,0.0420767945604769,0.0649311174825542,0.0517325247858711,0.0346501212838371,0.0520179255380221
"ENSG00000256628",0.00345074718347063,0.0094589446651093,0.00825997927123678,0.010344943709715,0.0208866901119121,0.0100608668563657
"ENSG00000114391",4.2913744252744,4.63398587102481,5.10510313845351,6.32107547365879,8.76058928419022,7.7111115814092
"ENSG00000182504",0.0103992021815941,0.00900373375951798,0.00837891232090262,0.0184315546847567,0.0991124835501173,0.056503127215011
"ENSG00000144815",0.004046390294321,0.0457576260904449,0.0532474884491132,0.155300330269903,0.258294813813452,0.0554501339668955
"ENSG00000249474",0,0.000477094027343567,0,0,0,0
"ENSG00000144802",0.188981664406397,0.163437560393202,0.441864155364503,0.333745156659978,0.146079641305392,0.164179068959727
"ENSG00000214407",0,0,0,0,0,0
"ENSG00000241280",0.000522597885715196,0,0.000823790251125554,0,0,0
"ENSG00000170044",0,0,0,0.00257443116476005,0,0
"ENSG00000241754",0.00132810511566123,0,0,0,0,0
"ENSG00000170017",0.12819065480359,0.0052028617410895,0.148263888426651,0.0523792643612647,0.0582007961228628,0.0146510245027243
"ENSG00000114423",0.0240009608643681,0.193565900389263,0.0380356132014898,0.104984164635107,0.0173335066226108,0.221154274139353
"ENSG00000242759",0,0,0,0.00254559443467179,0,0
"ENSG00000243701",0.000281212425454665,0,0,0.00442961779400176,0,0.00508257237792366
"ENSG00000239828",0,0,0,0,0,0
"ENSG00000272597",0,0,0,0,0,0
"ENSG00000138483",0,0,0,0,0,0
"ENSG00000273125",0,0,0,0,0,0
"ENSG00000114439",0.0878033142013121,0.195677775009463,0.187000335347049,0.283055661645328,0.138652823204344,0.203246585102814
"ENSG00000241469",0,0,0,0,0,0
"ENSG00000240423",0,0,0,0,0,0
"ENSG00000196776",0.0942859949392107,0.348212320575775,0.228216327667864,0.389178224581031,0.407717305227064,0.926634667549297
"ENSG00000271856",0.000279392625351461,0.0141852361162112,0,0,0,0.0463504863329539
"ENSG00000114446",0.0165350404579492,0.0590861640174905,0.0214827200254287,0.137168827666554,0.0902826606841246,0.0576065648331675
"ENSG00000114455",0,0,0,0.0158786088512064,0,0
"ENSG00000144821",0,0.00184449694462332,0,0,0.00542277628439433,0.0051677923825537
"ENSG00000163507",0.000260091359394343,0.00378726315486772,0.0140582465737996,0.0121821706634581,0.093439232509706,0.19471134014992
"ENSG00000198919",0.0129744575041295,0.0783710684032506,0.0155692059597446,0.0303366125305735,0.0289631642092638,0.0885123588959501
"ENSG00000163515",0,0,0,0,0,0
"ENSG00000163519",0.00159704317178309,0.158969834931028,0.00326041140450434,0.00516198185861396,0.00387622709323909,0.166907718127709
"ENSG00000138472",0,0,0,0,0,0
"ENSG00000114487",0,0,0.00992991643144324,0.0141919669894801,0,0
"ENSG00000239314",0,0,0,0,0,0
"ENSG00000241224",0.20691524779713,0.00375956046839027,0.00506801827759986,0.00436792535738349,0.00367068134483113,0.00548821747314896
"ENSG00000261364",0,0,0,0,0,0
"ENSG00000214381",0,0,0,0,0,0
"ENSG00000163530",0,0,0,0,0,0
"ENSG00000121570",0.00462620434789757,0.00093973061136644,0,0.000839635092901259,0,0.0202915784273132
"ENSG00000228980",0.000280580872143559,0,0,0,0,0
"ENSG00000242029",0,0,0,0,0,0
"ENSG00000240895",0,0,0,0,0,0
"ENSG00000242242",0.000515138900659358,0,0,0.00176287060369513,0,0
"ENSG00000177707",0.0646360540446772,0.00568126672288038,0.00415625358605991,0.0353014585330079,0,0.0202613079600712
"ENSG00000153283",0.00241541755506784,0.281962511320417,0.014229084414178,0.01284958060875,0.0056281933520256,0.392289114393777
"ENSG00000239311",0,0,0,0,0,0
"ENSG00000177494",0,0,0,0,0,0.00488573643704918
"ENSG00000240891",0.47273572558207,0.0113603873917226,0.00336949390238267,0.0167548911554033,0.00735679464389101,0
"ENSG00000240766",0,0,0,0,0,0
"ENSG00000144824",0.0993436126665213,0.0141740929742997,0.0041974487815974,0.129116819148627,0.0110491692245318,0.0102252375676458
"ENSG00000144827",0.0763879541251221,0.0198941754555647,0.0580600809916549,0.0364085026724045,0.0563931624685028,0.104191818585285
"ENSG00000144834",0,0,0,0,0,0
"ENSG00000176040",0,0,0,0,0,0
"ENSG00000114529",0,0.000949265490223083,0.000817940245955865,0.00354491271602034,0.00548755900059694,0.00514434313546705
"ENSG00000174500",0.000252439414890868,0.0379273666053747,0.00488292653085168,0.00260058419900355,0.00335830491167733,0.046753543620823
"ENSG00000261488",0,0.000479201880783867,0,0,0,0
"ENSG00000172139",0,0,0,0,0,0
"ENSG00000239482",0.000253285750619659,0.000468394220928262,0,0,0,0
"ENSG00000091972",0,0.00662451979971417,0.000843414937002608,0.00421208565409987,0,0
"ENSG00000243081",0,0,0,0,0,0
"ENSG00000186265",0.000279408097840383,0.0146897438469122,0.00331507848123086,0.00178092834363875,0.091706343738548,0.0199785144736939
"ENSG00000144848",0.112561114350139,0.0876400106855065,0.314383618698091,0.161942660301116,0.320355764649227,0.329353581576596
"ENSG00000138459",0.0333316681377341,0.0188621045809691,0.0675797108578097,0.0693674409779547,0.0346505671089906,0.0465351894813926
"ENSG00000091986",0.000823926870005883,0.000473175238368014,0.00406810400947839,0.148056645339433,0.00553073667303349,0
"ENSG00000240893",0.000544445968511769,0.000474593375791347,0,0,0,0
"ENSG00000206531",0,0,0,0,0,0
"ENSG00000163606",0.000538984111635148,0.0136927456555505,0.0207979225052215,0.0388518698867196,0.0127035580207758,0.00520169836587984
"ENSG00000272844",0.000531954565929441,0.00236353436442752,0.00169517852202473,0,0.00726727989384012,0
"ENSG00000163607",0.0216270230971584,0.0390509346447201,0.0477286109676278,0.0632709820676942,0.0915941327000072,0.108945286238102
"ENSG00000163608",0.0276173624922146,0.0514230285049254,0.0560939834222373,0.057613983058966,0.0421223733037025,0.0973294532167664
"ENSG00000240057",0.000266190524115089,0.00283462365997392,0.00252737121508599,0.00168589859438272,0,0.00509977303756909
"ENSG00000241219",0,0,0,0,0,0
"ENSG00000243795",0,0,0,0,0,0
"ENSG00000144857",0.000269689959130317,0,0.000835096664413977,0.024600315723091,0,0
"ENSG00000206530",0.00996323945668091,0.00331878881000112,0.00166419309745375,0.00751737035187913,0.00924771264812852,0.00520169836587984
"ENSG00000243849",0,0,0,0,0,0
"ENSG00000163611",0.014040187925441,0.0108591275807749,0.00655854804559455,0.0196599100013524,0.0262603684801206,0.0469052108882346
"ENSG00000072858",0.000817568846765931,0.0302167601840516,0.0107065995264074,0.00334797789698035,0.0262288756536804,0.0571052859780886
"ENSG00000239453",0,0.0639642313542845,0,0.00173929927107729,0.018291445579627,0.0259644283233902
"ENSG00000176542",0.128973262884654,0.0358697942619413,0.0616481130895683,0.0786066341352639,0.0361329481113193,0.0722669451370848
"ENSG00000121579",0.187648820860403,0.107225485550204,0.158115409578212,0.10996390473728,0.239811156262693,0.361652938757165
"ENSG00000242659",0,0.000466499125300122,0.000844181394887629,0.00353494842199821,0.00582167736649301,0.00518952906601601
"ENSG00000114573",0.20595947684941,0.040049416191257,0.306263976827637,0.144446775820434,0.106954047306251,0.0990300487428351
"ENSG00000178075",0.0503058478201251,0.00285101790980298,0.000841579984933656,0.0268244157330804,0.00190034122341883,0.00547618078588256
"ENSG00000273394",0.000275013302608116,0,0,0,0,0
"ENSG00000184307",0.018340877050228,0.00378591169812813,0,0.0165351046421516,0.0112523553757091,0
"ENSG00000163617",0.00325199643126482,0.00470808601981478,0.00913295057792312,0.0166382107769243,0.018456313403497,0.00530328738333772
"ENSG00000151576",0.0242768758438087,0.020820089252419,0.0306939191582201,0.0781354745635719,0.0543576372618264,0.0152942593849916
"ENSG00000151577",0.000253018776196671,0,0,0,0,0
"ENSG00000241490",0.00156870065241655,0.0449532968939655,0.0008177166645476,0.00328379063689167,0,0.0469716249931896
"ENSG00000174255",0,0.00949624465502864,0,0.00174263451094645,0,0.0157906784815788
"ENSG00000181847",0.00105391674360967,0.19205620572027,0.00498728990290373,0.00691902195046289,0.0131724436452182,0.118578706784375
"ENSG00000259976",0.180691419778567,0.0246157773164236,0.0346299905198313,0.207412086537954,0.0151445832749533,0
"ENSG00000181722",0.301168146371959,0.0772044987963681,0.0550473301745782,0.276835726096871,0.0294964351615876,0.0932225990742926
"ENSG00000241560",0,0.000948315926530424,0,0,0,0.00537110850190318
"ENSG00000242290",0,0.00143143862379331,0.00163695600678169,0,0,0
"ENSG00000241295",0.0078084702004131,0.00331524015695701,0.000824273608262024,0.0105271685114209,0.00186997815950328,0
"ENSG00000239946",0.000262217150895774,0,0,0,0,0
"ENSG00000242767",0.00134528491047545,0.00140946205096369,0,0.00417248017146792,0.00188553173476408,0
"ENSG00000242880",0,0,0,0,0,0
"ENSG00000172020",0,0,0,0,0,0
"ENSG00000185565",0,0,0,0.0409576235274072,0.00719505845805132,0
"ENSG00000240922",0,0,0,0,0,0
"ENSG00000241397",0,0,0,0,0,0
"ENSG00000243197",0,0,0,0,0,0
"ENSG00000242385",0,0,0,0,0,0
"ENSG00000239268",0,0,0,0.000691051902968244,0,0
"ENSG00000241213",0,0,0,0,0,0
"ENSG00000242816",0,0,0,0,0,0
"ENSG00000243276",0,0,0,0,0.00185934444448604,0
"ENSG00000144847",0,0.000465873577124134,0,0,0,0
"ENSG00000239877",0,0,0,0,0,0
"ENSG00000163424",0,0,0,0,0,0
