	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.845625219533544	0.8375147382941751	0.8787340053169675	0.8209480662057337	0.8097011281617603	0.8034426276734298
HALLMARK_INFLAMMATORY_RESPONSE	0.7102942965151439	0.792140787382276	0.799042813112665	0.7429315426309386	0.6904866717616388	0.7151491936894694
HALLMARK_XENOBIOTIC_METABOLISM	0.9137646152895953	0.7023898018145456	0.772714518949065	0.7361733514365677	0.7212439620473444	0.7344637198033307
HALLMARK_FATTY_ACID_METABOLISM	0.87756756990667	0.7297645250606172	0.7710052126186469	0.7415800919664481	0.7885938420745057	0.7799207286209872
HALLMARK_OXIDATIVE_PHOSPHORYLATION	0.9003497488949891	0.8512709835529897	0.8578318629932751	0.8353219477359418	0.8912186705179675	0.8617250814836018
HALLMARK_GLYCOLYSIS	0.8382355196870623	0.7486398072615585	0.7722181323452051	0.6886093654835913	0.8123914335232683	0.7813039840459067
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	0.9363592841397509	0.8648688618424678	0.9484901474984413	0.8805526196571226	0.918797129614449	0.8529822785844413
HALLMARK_P53_PATHWAY	0.8355300202432859	0.8513982493384751	0.8685174421076998	0.8323634759736361	0.8466608431462452	0.8331676023390255
HALLMARK_UV_RESPONSE_UP	0.8202989236644741	0.7948983874580291	0.7959559058288628	0.7764028153323123	0.7850358580870826	0.7870496203794105
HALLMARK_UV_RESPONSE_DN	0.7616105244013882	0.7224982907726174	0.7160540931453321	0.7611868055371765	0.647622499796436	0.6573740423993294
HALLMARK_ANGIOGENESIS	0.9304869758879035	0.9019968658484212	0.8613511973935084	0.8406622921100512	0.8706406151770797	0.8551794868645564
HALLMARK_HEME_METABOLISM	0.7871400546101506	0.7458182368398585	0.7653242967609836	0.7814776186146704	0.7522823882889418	0.9426072278783152
HALLMARK_COAGULATION	0.9577263356107056	0.757506937639432	0.8568113216359704	0.8420317317051528	0.7722971239600283	0.745863291409615
HALLMARK_IL2_STAT5_SIGNALING	0.7735913644484903	0.744603124138546	0.7678957395752138	0.7461659026313526	0.7235325550645053	0.7113197766414328
HALLMARK_BILE_ACID_METABOLISM	0.9208595496122416	0.6811368245446734	0.6958915908645905	0.6695929128811	0.6855922212664484	0.6945584999972292
HALLMARK_PEROXISOME	0.9352147331831386	0.7684195668296868	0.7885682744038923	0.7863602486228356	0.7842362947339279	0.7727344482839581
HALLMARK_ALLOGRAFT_REJECTION	0.8727816026278924	0.9092804587817024	0.9051328409565158	0.8778332085212028	0.8858663381050954	0.8802223323862692
HALLMARK_SPERMATOGENESIS	0.7002948188996821	0.6333501120142935	0.640225608218408	0.595205121934093	0.6841164213103217	0.7063524632611613
HALLMARK_KRAS_SIGNALING_UP	0.8714426096894302	0.7683997419643376	0.8079282887050273	0.7284295502712791	0.6945272278086396	0.7339823995538014
HALLMARK_KRAS_SIGNALING_DN	0.7997868599816396	0.6139347258972944	0.6792064781708568	0.6393880685813556	0.6037705612191832	0.5904231500314028
HALLMARK_PANCREAS_BETA_CELLS	0.8322589935126059	0.8974068590324263	0.8944900607604604	0.8009084795163877	0.943530575334305	0.8835462029935569
BUSSLINGER_ESOPHAGEAL_QUIESCENT_BASAL_CELLS	0.933078422862535	0.9761619642758269	0.96306014260427	0.9561525841418992	0.9560068501008416	0.9579867841618359
BUSSLINGER_ESOPHAGEAL_PROLIFERATING_BASAL_CELLS	0.9460861215355814	0.9629382862732793	0.9588146932603251	0.9482578759451185	0.9535037276361804	0.960350801253571
BUSSLINGER_ESOPHAGEAL_EARLY_SUPRABASAL_CELLS	0.9279153566966414	0.959316041383342	0.9445395101663973	0.9390263748464672	0.9524129769961427	0.9610919358804748
BUSSLINGER_ESOPHAGEAL_LATE_SUPRABASAL_CELLS	0.8766819891365778	0.9113602433269921	0.9421872200717893	0.884444701196707	0.8903708707919442	0.9193074802602069
BUSSLINGER_ESOPHAGEAL_DENDRITIC_CELLS	0.8845332916452816	0.9201369683002444	0.9425699131714312	0.889258752295027	0.8862331856457528	0.9093752006375753
BUSSLINGER_GASTRIC_CHIEF_CELLS	0.9671043940610147	0.9471433858994948	0.9686643286837212	0.9151564797772225	0.9510702531054472	0.9467289553675242
BUSSLINGER_GASTRIC_PREZYMOGENIC_CELLS	0.8568137923539407	0.8826384932834251	0.8684075170209494	0.867691602609354	0.8771659665317594	0.8315649288992628
BUSSLINGER_GASTRIC_NECK_CELLS	0.9386436075979779	0.7947884692557284	0.9231995526837558	0.8918512151493012	0.8315069849470748	0.7751372169789473
BUSSLINGER_GASTRIC_PPP1R1B_POSITIVE_CELLS	0.9665406544901669	0.98790648347582	0.983433582442469	0.979914569190512	0.9869359497316418	0.9855789857259474
BUSSLINGER_GASTRIC_ISTHMUS_CELLS	0.8703491791783433	0.8780410191178243	0.8906273564819107	0.8671904989709689	0.9044871528223425	0.9022083934189555
BUSSLINGER_GASTRIC_METALLOTHIONEIN_CELLS	0.9566122896086244	0.9519861347700894	0.9469898473720082	0.9306644236148166	0.9489210811793698	0.9502003907485982
BUSSLINGER_GASTRIC_IMMATURE_PIT_CELLS	0.8735371260699886	0.900684367312872	0.9112942455816371	0.8691990522693963	0.8651707351389019	0.9205277922264699
BUSSLINGER_GASTRIC_MATURE_PIT_CELLS	0.8859096414679972	0.8828528876747129	0.8869063617025076	0.8623701350672995	0.8261128793687436	0.8912090043453632
BUSSLINGER_GASTRIC_PARIETAL_CELLS	0.9297408032441444	0.8657646335534529	0.913049551686394	0.870428658579315	0.9053040823446663	0.8804810022247642
BUSSLINGER_GASTRIC_LYZ_POSITIVE_CELLS	0.9695454277078202	0.991517877442531	0.9841039076368672	0.9771524628296082	0.9861664961456003	0.9864192469417908
BUSSLINGER_GASTRIC_REG3A_POSITIVE_CELLS	0.9226722625866294	0.9564810680237927	0.9635224899573908	0.9380010597789673	0.9457212989802987	0.9524425335121959
BUSSLINGER_GASTRIC_D_CELLS	0.9624875237854377	0.7288810294122745	0.8351730041078348	0.8154669352196929	0.8401415716365939	0.6248444094596971
BUSSLINGER_GASTRIC_G_CELLS	0.8641150471766131	0.8370319019560911	0.8546824542649761	0.8449067813957196	0.8582461381952373	0.8002295971313569
BUSSLINGER_GASTRIC_X_CELLS	0.9287793017739489	0.8750901986598567	0.8734747057838427	0.845246740960806	0.8490367984952855	0.8382375329747646
BUSSLINGER_GASTRIC_TUFT_CELLS	0.9823664479122114	0.7976483025378914	0.8415689780455947	0.762144559691871	0.7937024232733474	0.7997206463075363
BUSSLINGER_GASTRIC_OXYNTIC_ENTEROCHROMAFFIN_LIKE_CELLS	0.9471858789444147	0.8344325884475697	0.8610805855481793	0.8479994618043964	0.8769097691504659	0.8177778125602202
BUSSLINGER_GASTRIC_ANTRAL_ECS	0.9571233449174129	0.811156936699391	0.7798501116503305	0.9535046818616785	0.6805017493527021	0.8319135031176009
BUSSLINGER_GASTRIC_IMMUNE_CELLS	0.8408269278691081	0.9115951857287273	0.8902679415473762	0.8571560123029266	0.8901308733942676	0.8884678654994544
BUSSLINGER_DUODENAL_STEM_CELLS	0.9344500794264564	0.9617430136239936	0.9508179631694603	0.9458147400352032	0.959721266577021	0.9540582203617891
BUSSLINGER_DUODENAL_DIFFERENTIATING_STEM_CELLS	0.9490238407504176	0.9635894940185998	0.9559560700313048	0.9500464804354528	0.963179753393958	0.9619756847035297
BUSSLINGER_DUODENAL_TRANSIT_AMPLIFYING_CELLS	0.9608971420751421	0.9725396322934428	0.9694715766659191	0.962282672476475	0.9770670937622208	0.9746240049977998
BUSSLINGER_DUODENAL_EARLY_IMMATURE_ENTEROCYTES	0.9462149779567888	0.9390254583184089	0.955782396669662	0.9198492793271923	0.9552839104474915	0.9397098167121949
BUSSLINGER_DUODENAL_LATE_IMMATURE_ENTEROCYTES	0.9144349075577893	0.8055070213439065	0.9382293255587238	0.8423416514619866	0.8396254036289568	0.8478355495014339
BUSSLINGER_DUODENAL_MATURE_ENTEROCYTES	0.928701499155239	0.7531223110526994	0.8374059858677839	0.7814095942487305	0.7231884024835762	0.7526178129470004
BUSSLINGER_DUODENAL_PANETH_CELLS	0.7897382685117593	0.5763719538332329	0.9381676265856421	0.857080587245709	0.6771614737882987	0.7339152327364176
BUSSLINGER_DUODENAL_GOBLET_CELLS	0.8764055568169618	0.6874700242034064	0.9240962805831252	0.8683273800587442	0.6920563612681864	0.7808481936598294
BUSSLINGER_DUODENAL_BCHE_CELLS	0.961176139659993	0.9181999864644185	0.9463350563581336	0.9204965665348777	0.8969815236833089	0.8940738568035476
BUSSLINGER_DUODENAL_TUFT_CELLS	0.9544849881654172	0.8263878789864484	0.8358742066321908	0.8464776312501491	0.7724634467851996	0.817850878735065
BUSSLINGER_DUODENAL_I_CELLS	0.9022460253948261	0.7711308710270204	0.841415194295774	0.8362320524776107	0.8179782414110888	0.7398475912553583
BUSSLINGER_DUODENAL_K_CELLS	0.6672203477739702	0.6189401581570309	0.7845071866319254	0.7062474246680477	0.6976362763864349	0.5270683886433715
BUSSLINGER_DUODENAL_MX_CELLS	0.9023700084706077	0.8328311021811347	0.9180289066177869	0.8123363275722868	0.6113032661333061	0.6936776270097653
BUSSLINGER_DUODENAL_EC_CELLS	0.9772851319175451	0.800946858963982	0.8800958158895579	0.9369009464742577	0.8224046211793697	0.7584861055815375
BUSSLINGER_DUODENAL_IMMUNE_CELLS	0.8929462135667314	0.9413397764187871	0.9260763656822693	0.9101859730183494	0.9234789454030021	0.9228043339581598
FAN_EMBRYONIC_CTX_BIG_GROUPS_CAJAL_RETZIUS	0.9121331415849943	0.8219945546211903	0.8217931504911759	0.8106053988599808	0.864676896600256	0.8398346836151097
FAN_EMBRYONIC_CTX_BIG_GROUPS_BRAIN_ENDOTHELIAL	0.8536902819084173	0.8478037629383154	0.8327777515494053	0.868787155644439	0.7895982844855707	0.8256280324525476
FAN_EMBRYONIC_CTX_BIG_GROUPS_EXCITATORY_NEURON	0.589881017788471	0.6056111816197723	0.5948520833713732	0.5605224670772311	0.5647236274621458	0.5876011939551914
FAN_EMBRYONIC_CTX_BIG_GROUPS_GLIAL	0.9065380642014844	0.7787850683412793	0.8724630982523282	0.845381363708609	0.8392713810705238	0.8268531359897254
FAN_EMBRYONIC_CTX_BIG_GROUPS_BRAIN_IMMUNE	0.877116696354944	0.9532078651888314	0.9272181984115754	0.9076222908897914	0.9002608856427232	0.9314804597191455
FAN_EMBRYONIC_CTX_BIG_GROUPS_MICROGLIA	0.9070547249448898	0.8811426143008565	0.9187814874941987	0.850802988927088	0.8538873877176145	0.8495031130849766
FAN_EMBRYONIC_CTX_BIG_GROUPS_INHIBITORY	0.7862143845402291	0.9634828542013886	0.8789043117834857	0.7893969147794622	0.8862844933315484	0.950897353147593
FAN_EMBRYONIC_CTX_EX_1_EXCITATORY_NEURON	0.6836941528928915	0.9363203387731975	0.9425157426868059	0.808279327307698	0.754591913604675	0.9431829685603355
FAN_EMBRYONIC_CTX_EX_2_EXCITATORY_NEURON	0.7610071670442493	0.7430668959012806	0.7803456078854343	0.817627767805642	0.6615547672659611	0.7325401659285926
FAN_EMBRYONIC_CTX_EX_4_EXCITATORY_NEURON	0.6227916159807416	0.5960334570801508	0.6090277710679641	0.6139641200014202	0.5870568109286648	0.56644878659136
FAN_EMBRYONIC_CTX_IN_1_INTERNEURON	0.7857700549858866	0.9566078935310189	0.9615520593306187	0.9298039585461192	0.9211279450310619	0.9632724526957215
FAN_EMBRYONIC_CTX_IN_2_INTERNEURON	0.7686731675775784	0.8177414411205891	0.9548842358603135	0.8737128033024564	0.6099181566015974	0.6018347035093438
FAN_EMBRYONIC_CTX_IN_3_INTERNEURON	0.8336547923637615	0.7911370394823634	0.8731471961438676	0.8165340105896983	0.7731617274204807	0.729097726960421
FAN_EMBRYONIC_CTX_IN_4_INTERNEURON	0.8393493684049101	0.9218896916123736	0.8953500424684956	0.8257298948916856	0.7974452217667292	0.9099312433984567
FAN_EMBRYONIC_CTX_IN_5_INTERNEURON	-0.5095453650854626	-0.5968510135797979	-0.6093682345992742	0.6639503269926288	-0.5721708325130944	0.5106868726629994
FAN_EMBRYONIC_CTX_IN_6_INTERNEURON	0.8756654676281352	0.9720171520036722	0.9723452555159879	0.9109383733809433	0.8750494600050471	0.9491492828840005
FAN_EMBRYONIC_CTX_ASTROCYTE_1	0.8643501273695486	0.7922022727168665	0.7713864165415452	0.8565713671753135	0.7041535853067431	0.7159922452802648
FAN_EMBRYONIC_CTX_ASTROCYTE_2	0.9196828531133263	0.7488521367362363	0.8248551044277963	0.8094940840211786	0.7270903974537366	0.7331502519763655
FAN_EMBRYONIC_CTX_NSC_1	0.9249157488148702	0.935972891021728	0.9603802832491395	0.9384685672539477	0.9533822767282388	0.9435688004540277
FAN_EMBRYONIC_CTX_NSC_2	0.8100076034156043	0.71300338982539	0.7196246417312941	0.6726898643648876	0.7854312839188716	0.8424856759926901
FAN_EMBRYONIC_CTX_OLIG	0.7481009147201094	0.6682961942681764	0.7135929934857157	0.6779164675062429	0.6725194101159626	0.6709897383894314
FAN_EMBRYONIC_CTX_OPC	0.7687881315882983	0.7193246989392005	0.686666361458103	0.7374519114589337	0.7361883978296253	0.676730552458838
FAN_EMBRYONIC_CTX_BRAIN_ENDOTHELIAL_1	0.8456261321050217	0.722828281820362	0.735467751139613	0.8355313228889634	0.7075987431762909	0.7429249547472284
FAN_EMBRYONIC_CTX_BRAIN_ENDOTHELIAL_2	0.7784518118201623	0.7160801918946794	0.739601411461943	0.8180423662129925	0.7381971979912042	0.7405774478339219
FAN_EMBRYONIC_CTX_MICROGLIA_1	0.7911846551428263	0.7128084063816936	0.6772736872661701	0.6787561020648234	0.807223074022818	0.8703179498313416
FAN_EMBRYONIC_CTX_MICROGLIA_2	0.6754311919131969	0.9594666106131845	0.9357530903078932	0.858036608182764	0.8714236953557586	0.9500738559153648
FAN_EMBRYONIC_CTX_MICROGLIA_3	0.8016551768467115	0.7763763624095724	0.939484796135949	0.8102464382773408	0.7329900224168264	0.8317993833290862
FAN_EMBRYONIC_CTX_BRAIN_MYELOID	0.9371088978989207	0.8948622618918426	0.9263942964037536	0.8723576905068643	0.8527140057637415	0.8696789041966042
FAN_EMBRYONIC_CTX_BRAIN_B_CELL	0.8740479610811949	0.9155738080709186	0.9181778352294108	0.882856966725041	0.890006711375887	0.898053541603442
FAN_EMBRYONIC_CTX_BRAIN_EFFECTOR_T_CELL	0.7565387344920537	0.9405160922520632	0.8848923144020885	0.8255288890637525	0.8560299879429795	0.9079568374133972
FAN_EMBRYONIC_CTX_BRAIN_NAIVE_LIKE_T_CELL	0.8208214208914991	0.917728663412081	0.8789984428351492	0.8475014203069982	0.8757187538606868	0.8942018614977868
MANNO_MIDBRAIN_NEUROTYPES_BASAL	0.9495014617928932	0.971446139697546	0.9663089895957376	0.964589631157808	0.9704923651326454	0.9694991434941342
MANNO_MIDBRAIN_NEUROTYPES_HENDO	0.8248088280189638	0.8452630090946495	0.849465887805896	0.842685958748653	0.7936065089843286	0.937439418132814
MANNO_MIDBRAIN_NEUROTYPES_HPERIC	0.8207163025541709	0.8256928548976428	0.8255022956123802	0.8256938083343536	0.790337846630518	0.9405426101307406
MANNO_MIDBRAIN_NEUROTYPES_HMGL	0.8823666798615033	0.8518647632579942	0.9007424901525932	0.8120111222419082	0.806843808050308	0.8997801381326916
MANNO_MIDBRAIN_NEUROTYPES_HOPC	0.8750475851949467	0.7637769326029089	0.749853022467415	0.7916832660587306	0.7211461620844144	0.9803835398690582
MANNO_MIDBRAIN_NEUROTYPES_HRGL2C	0.8901227730360235	0.748296156050033	0.8042174060924773	0.7907570387857343	0.7265668210772525	0.9503051694681571
MANNO_MIDBRAIN_NEUROTYPES_HRGL2B	0.8405890610023962	0.7737055972631821	0.8094667693735039	0.8222369949747765	0.725646544311368	0.9693109130958355
MANNO_MIDBRAIN_NEUROTYPES_HRGL2A	0.8255042157394963	0.7600361254005026	0.8112746379570143	0.7762892168836119	0.7688562291292833	0.9320857831583077
MANNO_MIDBRAIN_NEUROTYPES_HRGL3	0.8384523655568779	0.7415675787780273	0.8057005675370844	0.776421134382902	0.7310687087051524	0.9350090317494837
MANNO_MIDBRAIN_NEUROTYPES_HRGL1	0.8152226132798753	0.7310021787145276	0.7695261739999402	0.7888969585358651	0.6640847072035214	0.9645608831196686
MANNO_MIDBRAIN_NEUROTYPES_HPROGM	0.9053781028108501	0.9034553713018532	0.8657337902396689	0.8270828950012982	0.848099331709865	0.8639340203979742
MANNO_MIDBRAIN_NEUROTYPES_HPROGBP	0.8239347978091961	0.9054398932415676	0.8732457374242203	0.8289178484155076	0.8384422677690487	0.8611842853814882
MANNO_MIDBRAIN_NEUROTYPES_HPROGFPL	0.8524985254338464	0.882521752157284	0.8550508182777434	0.810199280902337	0.8329638608747743	0.855969116790211
MANNO_MIDBRAIN_NEUROTYPES_HPROGFPM	0.8634574531296786	0.8930294161070242	0.8810482988820152	0.8411886492781739	0.853457256819401	0.8736051911266042
MANNO_MIDBRAIN_NEUROTYPES_HNPROG	0.9049234460009461	0.9026610368143679	0.8941026696784219	0.8608672237880534	0.880150694336214	0.8691273144198679
MANNO_MIDBRAIN_NEUROTYPES_HNBM	0.7269184113274166	0.8019711980202432	0.7520950397569747	0.6865411450006417	0.8343101159563474	0.8051652007059514
MANNO_MIDBRAIN_NEUROTYPES_HNBML1	0.7884666640572842	0.8626763450378389	0.8119668164999638	0.7416820922276296	0.8628457079941967	0.8397876293380482
MANNO_MIDBRAIN_NEUROTYPES_HRN	0.6798551712112347	0.6068494655592697	0.6751285372144415	0.5953707420099916	0.5942759688764202	0.6657834374633238
MANNO_MIDBRAIN_NEUROTYPES_HNBML5	0.6244235457185905	0.7094143536562072	0.651202788077958	0.7280884408443377	0.6171968682247615	0.987729745044555
MANNO_MIDBRAIN_NEUROTYPES_HDA	0.6619810662262537	0.6603568486367978	0.6570223550045889	0.7165094014646783	0.5973541774177501	0.9681621934358606
MANNO_MIDBRAIN_NEUROTYPES_HDA1	0.6351344464521991	0.6308681963718168	0.643778973113054	0.670343544636847	0.5746692269557173	0.9637873438384053
MANNO_MIDBRAIN_NEUROTYPES_HDA2	0.8478218230769305	0.7313236578097599	0.6990294660730945	0.7681261194104176	0.6542027850922321	0.9831329081232244
MANNO_MIDBRAIN_NEUROTYPES_HNBGABA	0.6287575855035533	0.6015174980005089	0.6277387881155337	0.5728506524994472	0.5776042290527543	0.6888656959557188
MANNO_MIDBRAIN_NEUROTYPES_HGABA	0.624393165999356	0.637165516381649	0.6539111708519348	0.6309020259740254	0.5801413832351364	0.9522044237518626
MANNO_MIDBRAIN_NEUROTYPES_HSERT	0.6582947730202318	0.6479771650700596	0.6443671038425729	0.6587776679782761	0.5952301457595612	0.9412639747869036
MANNO_MIDBRAIN_NEUROTYPES_HOMTN	0.6898214301812052	0.6147398280148049	0.6282800488086736	0.5819257003654267	0.60103382637902	0.6945332359548277
ZHONG_PFC_MAJOR_TYPES_ASTROCYTES	0.8889804356137082	0.8540572424102498	0.8650299274760821	0.8503732147155337	0.8342217120233488	0.8421676087336707
ZHONG_PFC_MAJOR_TYPES_EXCITATORY_NEURON	0.7393219303358723	0.8805148095820701	0.9603502805384294	0.6091257860867665	0.8151259254285999	0.8506958563004532
ZHONG_PFC_MAJOR_TYPES_INTERNEURON	0.8482492967573241	0.9099384130450046	0.9109873404166768	0.820289102851944	0.877377723683868	0.8970927362726933
ZHONG_PFC_MAJOR_TYPES_MICROGLIA	0.9072139666409961	0.8810892582230891	0.9222369016283503	0.8533761245582548	0.8463223679689793	0.8490734509343454
ZHONG_PFC_MAJOR_TYPES_NPCS	0.7793730603809906	0.7392835895489008	0.7802786755909887	0.7685930027333957	0.8469519042521463	0.8968001077846748
ZHONG_PFC_MAJOR_TYPES_OPC	0.8958546367818764	0.9204503328352261	0.9306006998813539	0.8776408182459489	0.9114465210527013	0.9012682331850064
ZHONG_PFC_C7_ORG_UNDERGOING_NEURONAL_DIFFERENTIATION	0.6768418059679886	0.6522079806493843	0.6778995381166341	0.6316001617015565	0.6593356335525861	0.618931542528502
ZHONG_PFC_C8_ORG_PROLIFERATING	0.947684564285766	0.7834414729867608	0.844827246681524	0.8048642545795044	0.8226555732117016	0.8718019716131384
ZHONG_PFC_C9_ORG_OTHER	0.8811087888112927	0.8147828313487341	0.8907842701840601	0.8683277025643625	0.8056627203718979	0.8687928949423577
ZHONG_PFC_C3_UNKNOWN_INP	0.46256298289944586	0.4593834039916453	0.512601663628762	0.443488288941243	0.785786478601826	0.839947099943225
ZHONG_PFC_C4_UNKNOWN_INP	0.7762692826368423	0.7533031696618974	0.6928815994959279	0.7039142357770235	0.784227536902372	0.7467669720054815
ZHONG_PFC_C5_BCL11B_CALB2_POS_INP	0.7309102297150477	0.6008848883017446	0.6246742658959227	0.6456397303712067	0.682171274815047	0.594197767819026
ZHONG_PFC_HES1_POS_C1_NPC	0.9407416759728557	0.824862114532119	0.9235736657823174	0.9484010101949478	0.898838811257628	0.9127581039790678
ZHONG_PFC_C2_UNKNOWN_NPC	0.8854307151824629	0.6436563146517361	0.605624180996029	0.5954136543227272	0.783908958579301	0.8522445447084976
ZHONG_PFC_C1_NEUROD1_POS_EXCITATORY_NEURON	0.7681013591280994	0.9025552735282367	0.8941063104751173	0.7695758877581353	0.8602059593787506	0.8668831112399765
ZHONG_PFC_C2_SOX5_BCL11B_POS_EXCITATORY_NEURON	0.8138979904091138	0.8861311962952889	0.865992001728295	0.8018016781360311	0.8769795230138789	0.8484824052013549
ZHONG_PFC_C6_PLXNA4_POS_EXCITATORY_NEURON	0.867390735769713	0.8843175961325686	0.8655711528978379	0.7648432875245078	0.9325942561457822	0.8611934102271577
ZHONG_PFC_C1_DLX5_POS_INTERNEURON	0.9415706870686924	0.9641045933018233	0.9274179808030902	0.9242057900846445	0.9075831663931102	0.9150613951070304
ZHONG_PFC_C3_PROX1_CCK_POS_INTERNEURON	0.9356755927798832	0.9107201643521139	0.9633652297957181	0.7090565814374311	0.8228468446863726	0.9161069718859183
ZHONG_PFC_C6_DLX5_GAD1_GAD2_POS_INTERNEURON	0.8766713650468012	0.8844162606871468	0.885905388139861	0.8878761760636161	0.7028126912272799	0.8479005318964417
ZHONG_PFC_C7_SST_LHX6_POS_PUTATIVE_MIGRATING_INTERNEURON	0.6465152080138747	0.9153550216613614	0.943111329797431	0.8378653475773041	0.8313326418136122	0.8970152732532799
ZHONG_PFC_C8_UNKNOWN_NEUROD2_POS_INTERNEURON	0.7297987346641216	0.6555437027759249	0.6978813857717089	0.630320258123816	0.7341021596285996	0.6394258062905447
ZHONG_PFC_C1_OPC	0.8551416847920066	0.6827268868747947	0.7541112453006591	0.7072276309238352	0.7899613025292784	0.8522162819225395
ZHONG_PFC_C2_THY1_POS_OPC	0.6005109516903293	0.7140729051168817	0.7172936380340803	0.6496188749553484	0.6303766259046609	0.5995767105637368
ZHONG_PFC_C3_HOPX_POS_OPC	0.985732202311338	0.893152897529079	0.9770828646772765	0.9041750134917961	0.853959679678181	0.8424581585234886
ZHONG_PFC_C4_PTGDS_POS_OPC	0.8164601925921634	0.6761234472969565	0.7415066884213506	0.6999646226812138	0.7257433562367496	0.7016490179736187
